EST1	EST2	EST3	SST1	SST2	SST3	BEQ1	BEQ2	BEQ3	BEQ4	BEQ5	BEQ6	BEQ7	BEQ8	BEQ9	BEQ10	RVL1	RVL2	RVL3	RVL4	RVL5	COR1	COR2	COR3	COR4	COR5	COR6	COR7	COR8	COR9	ICT1	ICT2	ICT3	ICT4	SUS1	SUS2	SUS3	SUS4	SUS5	SUS6	SUS7	SUS8	SUS9	SUS10	SUS11	SUS12	SUS13	SUS14	SUS15
6	5	5	7	6	7	5	5	5	4	2	5	7	4	4	4	7	6	6	5	6	6	6	5	6	6	7	5	5	7	5	5	6	6	5	4	6	5	5	5	2	6	7	5	5	6	5	6	6
6	6	6	6	6	5	6	6	5	4	2	5	2	2	2	2	6	6	6	6	6	6	6	5	6	4	5	5	5	4	5	5	4	5	6	6	5	5	7	6	6	6	7	6	5	4	6	6	6
7	7	6	6	7	7	7	NA	7	NA	6	6	4	4	4	4	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	4	4	7	6	7	6	7	6	6	7	7	7	7	7	7	7	7	7
6	6	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	7	7	7	7	7	6	6	6	6	5	5	6	6	7	6	6	6	7	6	6	5	7	7	7
7	6	6	6	6	7	7	5	5	3	5	6	5	5	5	5	7	7	6	6	5	5	5	5	5	4	5	5	4	5	6	5	5	5	5	5	6	6	6	5	5	6	7	5	5	5	6	6	6
6	7	5	6	7	6	6	6	5	4	5	6	3	3	3	3	6	6	6	5	5	6	4	5	5	4	5	5	5	6	5	4	4	4	5	5	5	5	7	6	6	6	7	5	5	4	6	6	6
6	5	4	6	7	6	7	6	5	4	6	5	6	6	6	6	7	6	6	5	5	6	6	7	NA	5	6	5	5	6	6	6	6	6	6	6	7	7	7	7	6	7	7	7	7	7	7	6	6
6	6	6	7	6	6	7	6	1	1	5	5	2	2	2	2	7	7	1	1	6	7	7	7	7	7	7	7	7	7	5	5	4	6	5	5	6	6	6	6	6	7	7	6	6	6	6	6	6
5	5	5	4	5	5	6	6	6	4	6	6	5	5	4	5	6	7	7	7	7	6	6	7	6	5	5	7	5	5	6	5	5	5	5	5	6	5	6	6	6	6	6	5	5	NA	NA	6	NA
6	6	6	6	6	6	6	6	5	5	6	5	4	4	4	4	6	7	6	6	5	6	6	5	6	4	5	5	5	4	6	5	5	6	6	6	6	5	7	7	7	7	7	7	5	5	6	6	6
7	6	3	3	7	7	4	4	4	4	4	5	4	4	4	4	7	6	5	6	6	6	6	5	6	6	5	6	6	6	6	5	5	5	4	5	5	4	5	5	5	7	6	7	6	6	6	7	5
6	6	6	6	6	6	7	6	6	2	5	6	5	5	5	5	7	7	6	7	6	6	5	5	5	4	5	4	4	5	5	5	4	5	5	5	3	5	5	5	5	6	7	3	4	3	7	6	6
6	NA	7	NA	7	6	6	1	1	1	1	1	1	1	1	1	7	7	7	6	7	7	7	6	7	6	6	NA	4	6	5	4	3	5	6	7	7	7	7	6	6	7	7	7	7	NA	7	7	7
4	4	4	4	4	4	3	3	3	3	7	3	3	3	4	4	7	7	7	7	7	6	6	7	7	5	6	7	6	6	7	4	4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
6	6	6	6	6	7	6	7	5	3	5	6	5	5	5	5	6	6	5	6	4	6	5	5	5	4	5	5	4	6	4	4	4	5	4	5	6	5	5	5	5	6	7	5	5	4	6	6	6
6	6	7	7	6	6	6	4	5	4	4	4	4	4	4	4	7	7	7	4	7	6	6	7	6	6	7	6	4	7	7	6	5	4	7	7	7	7	7	6	6	7	7	7	7	6	7	6	6
7	7	3	7	7	7	5	5	5	5	1	5	1	1	1	1	7	7	5	6	4	5	5	7	7	3	6	5	3	5	5	4	4	5	4	4	7	5	5	6	5	7	7	4	4	4	7	7	7
6	5	5	5	5	6	7	7	6	4	5	5	5	5	5	5	7	7	7	7	6	6	6	4	6	5	6	5	5	5	6	5	5	6	6	6	6	6	6	6	6	6	7	5	5	4	7	7	7
6	6	6	6	6	6	7	6	6	5	6	6	6	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7
7	7	7	7	7	7	7	6	6	4	5	6	6	6	6	6	7	7	7	6	6	6	5	5	6	6	6	6	6	6	6	5	5	6	5	6	6	6	6	5	5	7	7	5	5	5	7	7	7
5	5	6	7	6	6	6	6	6	5	4	5	5	5	5	5	6	6	6	6	6	6	5	5	6	5	5	5	5	5	5	3	3	5	5	5	5	5	5	5	5	6	7	5	4	4	6	6	6
7	6	6	6	6	6	7	5	5	4	5	6	6	6	6	6	7	7	7	7	6	6	6	6	6	5	6	5	5	5	3	3	4	5	6	6	6	6	6	6	6	7	7	5	5	5	6	6	6
6	6	7	6	7	7	7	NA	7	NA	6	NA	NA	4	4	4	7	NA	7	NA	7	NA	NA	7	NA	6	3	NA	NA	6	6	4	4	4	7	NA	7	7	1	NA	NA	7	7	7	7	5	5	5	5
5	5	5	5	5	5	4	4	4	6	4	5	4	5	5	5	7	7	7	7	7	6	6	5	7	7	6	6	6	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
4	6	4	6	6	6	6	5	5	3	5	5	3	3	3	3	6	6	5	6	5	6	6	4	6	5	5	5	5	5	3	3	4	5	6	6	6	6	6	5	5	5	7	5	5	5	7	6	6
6	6	7	7	7	7	4	6	6	7	6	4	6	6	6	6	7	7	7	7	7	NA	7	7	7	NA	7	6	4	6	6	NA	4	7	7	NA	7	NA	7	NA	7	NA	7	7	7	7	7	7	7
7	7	7	7	7	7	5	5	5	5	4	5	4	5	6	6	7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5	5	5	4	3	3	6	5	3	3	2	6	5	3	2	6	6	6
5	6	6	6	6	6	6	6	6	4	5	6	2	2	2	2	6	6	6	7	5	6	5	5	6	4	5	5	5	5	7	5	4	6	6	6	6	6	6	6	6	6	7	5	5	5	6	6	6
6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	7	5	5	3	5	6	5	5	5	5	6	6	6	6	5	6	4	5	6	4	5	5	4	5	4	3	3	5	3	4	5	5	6	5	2	6	7	4	4	4	6	6	6
7	6	4	4	6	6	6	6	5	1	2	7	2	2	1	1	7	7	7	7	7	6	6	5	5	7	6	7	5	6	5	5	5	6	6	6	7	6	3	3	1	6	7	5	5	5	7	7	7
6	6	6	6	6	6	6	5	5	3	3	5	5	5	5	5	6	6	6	6	6	3	4	4	4	4	5	5	4	5	4	3	4	5	5	5	7	7	7	5	4	6	7	5	5	4	5	7	5
7	6	4	3	3	3	6	5	5	1	2	7	2	2	1	1	7	7	7	7	7	6	6	5	5	7	5	7	6	7	4	4	4	5	6	6	7	6	3	3	1	6	7	5	5	3	7	7	7
6	6	7	7	6	6	6	5	5	3	4	6	5	5	5	5	7	6	6	6	5	6	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	7	5	6	6	7	5	5	5	6	7	6
6	6	7	7	6	5	7	6	5	2	3	5	2	2	2	2	7	7	7	6	6	6	5	5	5	4	6	6	5	6	6	5	5	7	6	6	6	6	6	6	6	7	7	5	5	5	7	7	7
6	6	4	5	5	5	6	5	5	1	2	7	2	2	1	1	7	7	7	7	7	6	6	5	5	7	5	7	6	7	4	4	4	5	6	6	7	3	3	1	6	7	5	5	3	3	7	7	7
5	5	5	5	5	5	7	6	6	4	5	6	5	5	5	5	7	6	6	6	4	5	5	5	5	4	5	5	4	4	2	3	4	5	5	5	5	5	5	5	5	5	7	4	4	4	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	7	7	6	6	7	6	6	5	5	5	7	4	4	4	4	4	4	4	6	6	6	6	6	7	7	7
6	6	6	6	6	6	7	6	6	4	4	5	3	3	3	3	7	7	7	6	6	3	4	4	5	4	5	5	4	5	3	3	4	5	5	5	5	5	5	5	5	5	7	4	4	4	7	7	7
6	6	5	5	5	5	6	5	5	2	3	5	3	3	3	3	7	6	6	6	6	4	5	6	6	5	6	6	4	5	4	3	4	4	4	4	6	5	2	2	2	5	5	4	4	4	5	5	5
6	6	6	6	6	6	5	5	6	5	5	6	6	5	6	5	6	6	6	6	6	6	6	4	6	7	7	7	4	7	5	5	5	5	4	4	4	4	4	5	5	6	6	5	4	4	5	5	5
6	6	6	6	6	7	5	6	6	4	4	6	4	4	4	4	6	6	6	6	5	5	5	5	5	4	5	5	4	4	4	3	4	5	5	6	6	6	6	5	5	7	7	5	5	5	7	7	7
5	5	5	4	5	5	7	6	7	7	6	7	4	5	4	5	7	6	6	7	7	6	6	6	6	6	7	7	5	6	5	5	4	6	7	7	7	7	7	7	7	7	7	5	5	5	7	7	7
4	4	4	4	4	4	7	5	5	2	4	5	4	4	4	4	7	7	6	6	6	6	5	5	6	4	6	6	5	6	4	3	3	5	4	4	5	5	5	4	4	7	7	4	4	4	7	7	7
7	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	5	6	7	6	7	7	5	6	5	7	7	7	7	7	7	7	7
7	7	5	7	5	7	5	5	5	5	5	5	5	5	5	5	7	7	7	7	7	5	5	6	5	7	5	6	5	7	5	4	4	4	5	5	6	6	5	5	5	7	7	7	7	4	6	4	5
7	7	7	7	7	7	7	3	4	2	4	5	3	3	3	3	7	7	6	7	6	6	4	5	5	3	6	5	4	5	3	3	3	5	4	4	5	5	3	3	3	7	7	4	5	4	7	7	7
2	4	2	NA	5	4	7	5	4	4	1	1	NA	6	6	6	7	NA	6	7	NA	6	NA	7	7	6	7	5	6	NA	6	NA	NA	NA	5	NA	NA	5	5	NA	6	6	6	5	NA	NA	7	7	7
6	5	6	3	7	7	7	5	4	4	4	4	4	5	2	2	7	7	7	7	3	5	5	7	5	4	4	5	1	1	1	1	1	1	2	2	6	5	6	3	2	1	1	1	1	2	7	7	7
6	6	6	6	6	6	7	6	5	4	6	6	6	6	6	6	7	7	7	7	7	6	5	6	6	5	6	6	6	5	5	5	5	6	5	5	5	5	5	5	5	7	7	5	5	5	7	7	7
7	7	7	7	7	7	7	7	7	7	6	7	7	5	7	6	7	7	7	6	7	7	7	7	7	4	7	6	6	6	5	6	6	6	6	7	7	7	7	6	7	7	7	7	7	7	7	7	7
7	6	6	4	5	5	5	5	5	5	4	5	5	5	4	5	7	7	7	7	7	7	NA	5	5	7	7	7	7	7	5	5	4	6	7	7	6	6	6	6	5	7	7	7	6	6	6	6	6
5	5	5	5	5	5	7	6	6	3	5	6	5	5	5	5	7	7	7	6	5	6	5	5	6	4	6	6	4	5	5	3	4	5	6	6	6	6	6	6	6	7	7	4	4	4	7	7	7
7	6	4	3	6	6	6	5	5	1	2	7	2	2	1	1	7	7	7	7	7	5	6	6	5	7	6	7	6	7	5	5	5	6	6	6	7	6	3	3	1	6	7	5	5	3	7	7	7
6	6	6	6	6	6	6	6	6	4	5	6	3	3	3	3	6	6	6	6	5	6	5	5	6	4	5	5	5	5	7	5	4	6	6	6	6	6	6	6	6	6	7	5	5	5	6	6	6
7	7	7	7	7	7	7	6	5	4	4	7	7	7	6	6	7	7	7	6	7	NA	7	7	7	7	7	7	6	7	6	4	4	6	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7
5	6	5	5	5	5	5	5	5	4	4	4	4	6	NA	NA	7	7	7	7	7	7	6	7	6	6	6	7	6	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	7	7	2	2	2	4	5	3	3	3	3	7	7	7	7	6	6	6	6	6	4	7	6	5	5	5	5	5	6	5	5	5	5	5	5	5	6	7	4	4	4	7	7	7
7	6	7	7	7	7	7	4	7	7	6	6	6	7	7	7	7	6	6	6	6	7	7	7	7	6	6	6	6	7	5	5	5	5	5	5	7	7	7	NA	1	7	7	7	7	7	6	7	5
4	4	5	5	5	5	3	3	4	5	4	5	4	6	6	6	7	7	7	7	7	5	5	5	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	5	5	4	6	6	6
NA	4	6	4	4	4	5	5	5	5	4	5	5	4	4	4	7	7	7	7	7	6	6	5	5	6	6	5	5	5	5	4	5	5	4	4	4	4	3	6	5	6	7	5	6	6	7	6	7
4	4	4	3	3	3	6	4	4	4	4	5	4	4	4	4	6	6	6	6	6	5	3	3	4	3	5	5	5	4	4	2	4	5	2	3	5	5	5	3	4	6	7	4	4	4	6	7	6
4	4	4	3	3	3	7	7	6	7	6	7	5	6	6	6	7	6	7	6	7	6	6	6	6	6	6	6	6	6	7	5	5	5	5	5	5	5	5	5	6	5	6	6	6	6	6	7	7
5	5	5	5	5	5	7	6	5	3	5	6	5	5	5	5	6	6	6	6	5	5	5	3	5	4	6	6	6	6	4	4	4	5	4	4	5	5	5	4	4	5	7	3	3	3	7	7	7
5	6	6	6	5	5	7	4	4	4	3	6	5	4	4	4	6	6	7	7	7	5	5	5	5	5	NA	5	5	5	4	4	4	4	4	4	4	5	4	4	5	5	5	5	5	5	5	5	5
6	6	6	6	6	6	7	6	5	2	5	5	5	5	5	5	7	7	6	6	6	6	4	4	6	5	6	6	6	6	4	3	4	5	5	4	5	5	6	4	4	7	7	6	6	6	7	7	7
7	7	7	7	7	7	7	6	6	2	2	7	4	4	4	4	7	7	7	5	5	3	4	3	4	4	7	6	6	4	4	3	4	5	7	6	6	6	7	5	6	7	7	6	6	5	6	6	6
6	6	6	6	6	6	7	6	5	3	5	6	6	6	6	6	7	7	7	7	7	6	NA	6	5	4	6	6	5	6	5	4	4	6	6	6	6	6	6	6	6	7	7	5	5	5	7	7	7
6	6	7	6	6	6	5	5	6	6	6	6	4	3	4	4	6	6	5	5	6	6	6	6	5	6	7	6	6	5	4	4	4	5	5	5	6	6	6	5	5	6	7	5	4	4	6	7	6
5	4	6	6	6	5	6	5	5	2	3	5	3	3	3	3	7	7	6	5	6	5	5	5	5	3	5	5	5	5	3	2	4	5	3	3	5	5	5	2	3	5	7	5	5	4	7	7	7
7	6	3	6	7	6	6	6	4	4	5	5	5	5	5	5	7	6	5	4	7	3	5	5	5	6	6	6	5	7	3	1	3	4	7	6	6	6	5	5	5	5	6	4	5	4	6	5	6
6	6	5	5	5	5	5	5	5	5	5	4	5	5	5	5	6	6	6	6	6	6	5	5	6	6	6	5	5	5	5	5	3	6	4	4	5	5	5	5	5	6	7	6	6	5	6	6	6
2	2	2	2	2	2	5	2	2	2	2	2	3	3	3	3	7	7	7	7	7	3	6	6	5	4	6	6	5	6	3	3	4	5	3	4	5	5	5	3	4	7	7	4	4	4	7	7	7
4	5	3	3	2	1	5	1	2	2	2	1	3	2	6	3	7	7	6	7	7	7	5	4	6	6	6	6	6	6	5	3	4	5	6	6	6	6	6	4	5	5	7	6	5	6	7	7	7
5	5	5	5	5	5	7	6	5	3	5	5	5	5	5	5	6	6	6	6	5	3	2	2	4	3	5	5	4	4	3	2	2	4	6	6	6	6	6	4	4	7	7	5	4	4	7	7	6
6	6	6	6	6	6	6	5	5	2	4	5	5	5	5	5	6	6	6	4	4	5	4	3	5	4	5	5	4	5	5	4	4	5	4	4	5	5	5	4	4	6	7	4	4	4	6	7	6
4	4	4	4	4	4	6	5	5	2	4	5	6	6	6	6	6	5	6	4	4	4	4	3	4	4	5	4	4	4	3	3	4	5	3	3	5	5	5	3	3	6	7	3	3	3	6	6	6
3	3	5	5	3	3	6	5	5	5	5	5	5	5	5	5	6	7	7	7	7	7	6	6	7	7	7	7	6	6	6	5	5	5	6	6	6	6	6	5	5	6	6	6	6	6	6	6	6
2	2	2	2	2	2	3	2	2	2	2	2	3	3	3	3	7	7	7	7	6	3	4	3	4	4	6	6	4	5	4	2	3	5	3	3	5	5	5	4	3	5	7	3	3	3	7	7	7
4	4	3	7	6	6	5	6	5	5	4	4	4	4	4	4	5	5	6	5	7	6	6	7	6	6	6	6	5	6	5	4	6	6	6	6	6	6	5	6	6	6	6	5	5	5	7	7	7
5	7	5	7	6	6	6	6	5	7	NA	7	2	5	5	5	7	6	6	7	7	7	7	7	6	5	6	7	6	7	5	5	5	5	7	7	7	7	7	7	7	6	6	6	6	7	7	7	6
6	6	6	6	6	6	6	6	6	3	5	6	5	5	5	5	6	7	6	7	6	6	5	5	5	4	6	4	5	5	4	3	4	3	6	6	6	6	6	6	6	6	7	5	5	5	6	7	6
4	4	4	3	4	4	6	4	4	1	2	4	4	4	4	4	7	7	7	6	6	6	5	5	6	4	6	4	5	4	6	5	4	6	4	5	6	6	6	5	5	7	7	5	5	5	6	7	6
5	4	5	5	5	NA	5	5	4	4	5	NA	4	5	5	5	7	6	6	6	7	6	6	6	5	5	6	6	5	6	4	4	3	3	5	5	6	5	5	5	5	6	7	5	4	4	7	6	6
6	6	6	6	6	6	7	6	6	4	5	6	5	5	5	5	7	6	7	6	5	5	5	5	5	4	5	5	4	4	3	3	5	6	4	5	6	6	6	4	5	7	7	5	5	5	6	7	6
5	5	5	5	5	5	7	6	4	4	4	5	4	4	3	3	5	5	5	5	5	5	5	5	5	5	6	5	5	6	5	4	4	5	4	4	5	5	5	4	4	5	7	3	3	3	5	6	5
5	4	4	4	5	5	7	6	4	4	4	5	4	4	4	4	5	5	5	5	5	5	5	5	5	5	6	5	5	6	5	4	4	5	4	4	5	5	5	4	4	5	7	3	3	3	6	6	6
