EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC,QK
5,5,5,5,5,5,7,6,4,4,4,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,5,6,5,-1.143,-1.844,-1.53,Ocio
5,4,4,4,5,5,7,6,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,6,6,6,-1.143,-1.844,-0.552,Ocio
5,5,5,5,5,5,7,5,5,2,5,5,5,5,5,5,6,6,6,6,6,2,2,2,3,4,5,5,4,5,2,2,2,4,5,5,5,5,5,5,5,7,7,6,6,6,7,7,7,-0.356,0.656,0.88,Ocio
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.436,0.656,-0.552,Ocio
5,4,4,4,3,3,5,4,5,4,5,5,5,5,5,5,7,7,7,7,7,5,5,6,6,6,7,7,6,7,7,5,5,6,5,6,6,6,7,6,6,7,7,3,6,5,6,5,6,0.579,-0.445,-1.005,Ocio
6,6,6,6,6,6,6,5,5,6,5,4,3,3,3,3,7,7,7,7,7,6,6,6,5,5,6,6,6,6,5,6,5,5,6,6,6,6,7,6,5,6,7,5,5,5,7,7,7,0.456,-0.177,0.88,Ocio
6,6,6,6,6,6,7,5,5,2,4,5,4,4,4,4,6,6,6,6,5,3,4,4,5,4,6,6,4,5,4,3,4,5,4,4,5,5,5,4,4,6,7,4,4,4,6,6,6,-0.993,-1.01,-0.552,Ocio
5,5,4,5,4,5,6,4,4,2,4,4,5,5,5,5,6,5,6,4,4,3,3,3,3,4,5,5,4,5,4,3,4,5,5,4,5,5,5,4,4,5,7,4,4,4,6,6,6,-1.015,-1.01,-0.552,Ocio
5,7,6,6,6,6,7,5.212121212121212,7,4.026415094339622,7,6,7,6,6,6,7,7,6,6,7,7,5,6,6,5,6,6,6,6,5,5,5,7,7,7,7,5,5,5,5,6,7,7,7,7,7,7,7,0.357,1.489,0.88,Negocio
5,5,4,5,5,4,6,5,4,3,3,5,4,4,4,4,6,6,6,6,6,6,5,5,5,4,6,5,5,5,7,6,6,6,6,6,6,6,6,6,6,6,7,5,5,5,7,7,7,0.436,-0.177,0.88,Negocio
6,6,6,6,6,6,5,5,5,6,4,4,5,5,5,5,7,7,6,6,5,7,6,7,6,4,6,4,6,6,5,5,5,7,5,6,6,6,6,5,2,6,6,5,6,5,6,6,6,-0.225,0.11,-0.552,Ocio
3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,6,6,6,6,7,6,6,6,6,5,5,5,5,5,4,4,4,4,3,4,6,4,3,4,4,6,7,6,5,4,5,5,5,-1.355,-0.167,-1.984,Negocio
5,5,4,6,5,5,6,5,5,2,2,5,5,5,5,5,7,7,7,7,7,5,5,4,5,4,6,6,4,5,5,3,4,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,1.528,0.656,-0.552,Ocio
5,5,4,5,5,5,6,2,2,2,2,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,2,5,5,4,4,5,5,5,4,4,5,7,3,3,3,6,6,6,-1.143,-1.844,-0.552,Ocio
5,5,5,6,7,7,7,6,5,6,5,6,7,6,5,6,7,6,6,6,7,7,6,7,6,6,6,7,6,5.885496183206107,7,6,6,7,5,6,7,7,7,7,6,6,7,5,6,6,6,7,7,0.888,0.378,0.404,Negocio
5,5,6,6,5,5,6,6,6,6,5,6,5,5,5,4,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,6,7,4,4,4,6,6,6,-0.632,-1.01,-0.552,Negocio
6,6,5,6,5,4,6,4,4,3,4,4,4,4,4,4,6,6,6,5,5,5,4,2,5,3,6,5,4,5,4,2,4,6,3,3,5,5,5,3,4,6,7,4,3,3,6,5,6,-1.378,-1.566,-1.005,Ocio
5,6,5,6,6,5,6,5,5,3,3,5,3,3,3,3,6,6,6,5,5,4,4,4,4,4,6,5,5,4,3,2,4,5,3,2,5,5,5,2,3,5,7,4,4,4,6,7,6,-1.886,-1.01,-0.098,Negocio
5,5,5,5,5,5,7,2,2,2,2,2,3,3,3,3,7,7,7,4,4,4,4,4,5,3,6,5,4,4,2,1,3,5,3,3,3,4,4,2,2,5,7,2,2,2,5,5,5,-2.484,-2.677,-1.984,Negocio
4,4,5.337078651685394,5,5,4,5,5,5,5,5,4,4,4,4,4,7,7,7,6,6,5,6,6,6,6,6,6,6,6,4,4,4,5,6,6,6,6,5,5,5,6,6,6,5,5,7,7,7,0.087,0.101,0.88,Ocio
5.513207547169811,5.62406015037594,7,7,7,6,7,5.212121212121212,7,7,7,7,4.556818181818182,4.56390977443609,7,7,7,7,7,6.2377358490566035,7,5.780769230769231,5.726923076923077,7,5.8830188679245285,6,7,7,7,5.885496183206107,4.981203007518797,4.4393939393939394,4.481060606060606,5.5437262357414445,6,6,6,6,4,4,7,7,7,7,5.1992481203007515,5.095057034220532,6.345864661654136,6.449438202247191,6.364661654135339,0.194,0.461,0,Ocio
6,6,6,6,6,6,6,6,6,5,5,5,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,0.586,1.489,0.88,Negocio
5,5,5,5,5,5,3,3,4,4,4,4,3,3,4,3,7,7,7,7,7,6,6,7,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,0.436,0.656,0.88,Negocio
6,6,6,6,6,6,6.176029962546816,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,7,7,6,6,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,0.436,0.924,0.88,Ocio
5.513207547169811,7,7,7,7,7,7,7,6,6,4,5,6,4,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.528,1.489,0.88,Negocio
4,4,4,4,4,4,5,5,4,4,5,5,5,5,5,5,6,7,7,6,6,6,6,6,6,6,6,5.950943396226415,6,7,5,4,5,5,6,6,6,6,6,6,6,6,7,6,5,6,7,7,7,0.436,0.369,0.88,Negocio
5,5,5,6,5,5,6,6,4.98501872659176,5,5,5,5,4,5,5,7,7,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,5,5,5,7,7,7,0.334,-0.177,0.88,Ocio
6,5,5,7,6,5,7,5,4,2,3,5,5,5,5,5,7,7,7,6,6,5,5,4,5,6,7,6,6,7,5,5,4,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,7,1.528,0.388,0.88,Ocio
5,5,5,5,5,5,6,6,6,5,6,5,5,4,4,4,6,6,6,6,7,5,6,6,6,6,7,6,6,6,3,3,3,3,6,6,6,6,6,6,6,6,7,5,5,5,6,6,6,0.436,-0.177,-0.552,Negocio
5,6,5,6,6,5,7,2,2,2,2,4,5,5,5,5,7,7,7,6,6,6,5,5,5,5,7,6,6,6,3,2,4,5,6,6,6,6,6,4,5,7,7,4,5,4,5,6,5,0.234,-0.723,-1.53,Negocio
5,6,5,6,6,5,7,2,2,2,2,4,5,5,5,5,7,7,7,6,6,6,5,5,5,5,7,6,6,6,3,2,4,5,6,6,6,6,6,4,5,7,7,4,5,4,5,6,5,0.234,-0.723,-1.53,Negocio
6,6,6,6,6,6,6,5,5,3,4,5,4,4,4,4,7,7,7,6,6,3,5,3,4,4,6,5,5,5,5,5,4,6,6,6,6,6,6,5,6,6,7,4,4,4,6,6,6,0.31,-1.01,-0.552,Ocio
6,6,6,6,6,6,7,5,5,4,5,6,5,5,5,5,7,7,7,6,6,6,5,4,5,6,7,4,6,4,6,6,5,6,5,6,6,6,6,5,6,6,7,5,5,6,6,7,6,0.181,0.091,-0.098,Ocio
6,6,6,6,6,6,6,6,6,5,5,5,6,4,4,4,6,6,5,5,5,5,5,6,6,6,6,7,6,6,5,4,5,5,6,6,6,6,6,5.20532319391635,6,6,6,5,5,5,7,7,7,0.336,-0.177,0.88,Negocio
6,6,6,6,6,5,6,4,4,3,5,4,4,4,4,4,7,7,7,6,6,5,5,5,5,4,6,5,5,4,4,4,4,6,5,5,6,6,6,5,6,6,7,5,4,4,6,7,6,0.051,-0.733,-0.098,Negocio
5,4,5,6,4,4,7,3,3,3,3,3,5,5,4,4,7,7,7,6,6,6,5,5,6,5,6,4,5,4,5,4,3,6,3,4,6,6,6,4,5,6,7,5,5,4,6,6,6,-0.565,-0.445,-0.552,Ocio
7,7,7,6,7,7,7,7,6,6,7,7,4.556818181818182,7,7,4.543396226415094,7,7,6,6,6,5.780769230769231,5.726923076923077,6,6,6,7,7,5,7,4,4,4,4,5,5,6,6,4,6,1,6,5,5,5,4,7,7,7,-0.575,-0.445,0.88,Ocio
6,6,7,7,6,6,6,6,5,2,3,5,4,4,4,4,7,7,7,6,6,6,6,5,5,4,6,6,5,5,4,4,4,5,5,5,6,6,6,4,6,6,7,4,4,4,7,7,7,-0.075,-1.01,0.88,Ocio
6,6,7,7,6,6,7,6,5,4,4,7,5,5,5,5,7,7,7,6,6,5,5,5,5,5,7,6,5,5,7,6,5,7,6,6,6,6,6,5,6,6,7,5,5,5,6,7,7,0.31,-0.177,0.404,Ocio
6,6,6,6,5,6,7,6,5,4,4,6,4,4,4,4,7,7,7,6,6,6,5,5,5,5,7,6,6,5,5,4,4,6,5,5,6,6,6,4,5,6,7,4,4,4,5,6,5,-0.176,-1.01,-1.53,Ocio
7,7,7,7,7,7,7,6,6,4,4,6,5,5,5,5,7,7,7,6,6,6,5,5,5,5,7,5,5,5,5,4,3,6,6,6,6,6,6,4,6,6,7,4,4,4,5,6,5,0.185,-1.01,-1.53,Negocio
6,6,3,6,5,4,5,6,6,6,6,5,4,4,4,4,7,7,6,5,6,4,6,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,-0.657,-0.177,-0.552,Ocio
4,3,3,4,4,4,3,3,2,2,2,2,2,2,2,2,7,6,6,6,6,6,6,7,7,7,7,7,6,7,5,5,5,5,3,3,3,3,3,2,3,2,6,6,3,2,6,6,6,-3.118,-1.278,-0.552,Negocio
4,5,4,6,6,4,6,4,5,1,2,5,4,4,4,4,7,7,7,6,4,6,5,5,5,4,6,5,4,4,4,4,4,6,6,4,6,6,6,4,5,7,7,5,5,5,7,7,7,-0.028,-0.177,0.88,Ocio
5,5,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,7,5,6,5,5,5,5,5,5,5,5.725563909774436,5,5,4,5,6,4,4,3,5,6,6,-0.641,-1.278,-1.028,Negocio
6,6,6,6,6,6,7,5,5,3,4,6,4,4,4,4,7,7,7,6,6,6,6,5,6,4,7,6,6,6,5,4,4,6,6,5,6,6,6,4,5,6,7,5,4,3,5,6,4,-0.047,-1.001,-2.033,Negocio
6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,5,7,7,6,6,6,6,6,6,7,6,7,7,6,7,4,4,4,5,5,5,4,5,5,5,4,6,6,5,4,4,6,6,6,-0.78,-0.733,-0.552,Ocio
4,4,4,3,4,4,6,2,2,2,2,5,4,4,4,4,7,7,7,6,6,6,5,5,5,4,6,4,5,4,5,5,4,6,4,4,5,5,5,4,4,6,7,4,4,4,6,6,6,-0.993,-1.01,-0.552,Ocio
7,7,7,7,7,7,7,6,6,4,5,6,6,6,6,6,7,6,7,6,6,6,6,6,6,4,6,6,5,6,4,4,4,6,6,6,6,6,6,6,6,6,7,5,5,5,6,7,6,0.436,-0.177,-0.098,Negocio
7,7,7,7,7,6,7,5,5,4,4,5,6,6,6,4.543396226415094,7,7,7,7,7,5,6,6,7,4,4,5,6,6,4,4,3,4,7,5.306818181818182,7,7,7,6,6,6,6,6,6,6,7,7,7,0.929,0.656,0.88,Ocio
4,5,6,6,6,4,5,5,5,2,2,5,5,5,5,5,7,7,7,7,7,6,6,6,6,4,7,6,5,5,6,5,5,7,7,7,7,7,7,7,7,7,7,5,5,5,7,7,7,1.528,-0.177,0.88,Ocio
5,6,6,6,6,5,6,5,5,2,2,6,4,4,4,4,7,7,7,6,6,6,5,5,5,5,7,6,5,5,6,5,4,6,4,4,5,5,5,4,4,6,7,5,4,4,6,6,6,-0.993,-0.733,-0.552,Negocio
6,6,6,6,6,5,6,4,4,2,3,5,4,4,4,4,7,7,7,7,7,6,6,5,6,5,7,6,6,5,4,4,4,6,4,4,6,6,6,4,5,6,7,3,3,3,5,6,5,-0.436,-1.844,-1.53,Ocio
6,6,6,6,6,6,7,5,5,4,5,6,3,3,3,3,7,6,6,6,6,6,6,5,6,4,6,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,7,5,5,5,5,5,5,0.436,-0.177,-1.984,Negocio
6,7,7,6,6,6,7,5,5,3,3,5,5,5,5,5,6,6,6,6,6,6,5,5,6,4,6,6,6,6,6,5,4,6,4,4,6,6,6,4,4,5,7,3,3,3,6,6,6,-0.688,-1.844,-0.552,Negocio
5,6,5,7,6,4,6,4,4,2,3,4,3,3,3,3,7,7,7,6,6,3,4,5,4,4,6,5,5,5,4,4,4,6,5,6,6,6,6,4,5,6,7,4,4,4,5,5,5,-0.045,-1.01,-1.984,Negocio
5,5,5,6,6,4,6,3,3,3,3,3,3,3,3,3,7,7,7,5,5,6,6,5,5,5,6,6,4,6,5,4,4,6,4,6,6,6,6,4,6,6,7,3,3,3,6,6,6,-0.073,-1.844,-0.552,Negocio
4,5,5,6,5,4,5,5,2,2,3,4,3,3,3,3,7,7,7,7,7,6,5,5,5,4,7,6,5,5,5,4,4,6,6,6,6,6,6,6,6,6,7,5,5,4,7,7,7,0.436,-0.445,0.88,Negocio
4,5,5,5,5,4,6,3,3,3,3,3,2,2,2,2,7,7,7,6,6,6,5,5,5,4,6,5,5,5,5,4,4,5,5,4,6,6,6,4,6,7,7,5,5,4,6,6,6,-0.055,-0.445,-0.552,Ocio
6,6,5,6,6,5,6,5,5,4,4,5,5,5,5,5,7,7,7,5,5,6,6,4,6,4,6,5,5,5,6,5,4,6,4,4,6,6,6,4,4,7,7,5,4,4,6,6,6,-0.387,-0.733,-0.552,Negocio
6,6,6,6,6,5,6,5,5,3,3,5,4,4,4,4,7,7,7,7,7,6,5,5,5,4,6,6,4,6,5,4,4,6,4,3,5,5,5,4,4,6,7,3,3,3,5,5,5,-1.124,-1.844,-1.984,Negocio
4,4,3,6,5,4,6,5,5,2,4,5,5,5,5,5,7,7,6,6,6,6,5,5,5,4,6,5,4,5,3,2,4,6,3,3,3,3,3,3,3,6,7,4,4,4,5,5,5,-2.39,-1.01,-1.984,Ocio
6,7,5,6,6,4,6,2,2,2,2,2,4,4,4,4,7,7,7,7,7,6,6,5,6,5,7,6,6,6,7,6,5,7,6,5,6,6,6,4,5,6,7,5,5,5,7,7,7,-0.047,-0.177,0.88,Negocio
6,6,6,5,5,5,5,5,5,5,5,6,6,5,6,6,7,7,7,7,7,5,5,5,6,6,6,6,6,5.885496183206107,5,4,4,4,6,7,6,6,6,7,7,7,7,7,7,6,7,7,7,0.944,1.221,0.88,Negocio
5,6,5,6,5,4,7,5,5,3,3,6,4,4,4,4,7,7,7,6,6,6,5,5,6,4,7,4,5,4,5,4,4,6,5,4,6,6,6,4,6,7,7,5,5,5,7,7,7,-0.055,-0.177,0.88,Negocio
5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,7,7,7,7,7,6,6,6,7,7,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,0.436,0.656,0.88,Negocio
5,5,5,6,6,5,6,6,5,4,4,6,5,5,5,5,6,6,6,5,5,5,5,5,5,4,6,4,4,4,5,4,4,7,6,3,6,6,6,3,5,7,7,5,5,5,6,6,6,-0.284,-0.177,-0.552,Ocio
6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,7,5,6,7,7,6,7,7,6,7,5,5,5,5,6,6,6,6,6,6,6,6,7,5,5,5,6,6,7,0.436,-0.177,-0.049,Negocio
5,6,6,7,5,5,7,5,5,4,4,5,4,4,4,4,7,7,7,7,7,6,5,5,5,5,7,5,5,5,5,5,4,6,4,4,5,5,5,4,4,5,7,2,2,2,6,6,6,-1.143,-2.677,-0.552,Negocio
5,6,6,6,6,5,6,5,5,4,4,5,5,5,5,5,7,7,7,5,5,6,5,5,5,5,7,4,5,4,2,1,2,5,6,5,6,6,6,4,6,6,7,5,5,5,6,6,6,0.054,-0.177,-0.552,Negocio
5,6,5,6,6,5,7,6,5,4,4,6,4,4,3,3,7,7,7,6,6,6,5,6,5,4,6,6,4,5,5,5,4,6,5,4,6,6,6,4,6,7,7,4,4,4,7,7,7,-0.055,-1.01,0.88,Negocio
6,6,6,5,6,5,6,6,6,6,5,6,5,5,5,5,6,7,6,6,6,6,6,6,7,5,6,6,6,6,4,5,4,4,5,5,5,6,5,5,5,6,7,6,6,5,6,7,6,-0.344,0.388,-0.098,Ocio
5,6,6,7,6,5,7,6,6,4,4,6,5,5,5,5,7,7,7,7,7,6,5,5,5,4,6,6,4,6,5,4,3,6,6,5,6,6,6,5,5,6,7,4,4,4,4,6,5,0.078,-1.01,-2.006,Negocio
5,5,5,5,5,5,6,6,6,6,6,5,6,5,5,5,7,7,7,7,7,5,5,5,6,6,7,7,6,6,4,4,4.481060606060606,5,5,5,5,6,6,6,6,6,6,6,4,4,6,7,6,0.004,-0.455,-0.098,Ocio
5,6,5,6,6,4,5,5,6,5,5,5,6,5,6,5,6,7,7,6,6,5,4,6,5,5,5,6,6,6,5,5,5,5,6,6,6,5,5,5,5,6,7,5,4,4,6,6,6,-0.075,-0.733,-0.552,Ocio
5,5,5,6,5,4,7,5,6,2,3,6,4,4,4,4,7,7,7,6,6,6,5,6,6,5,6,6,5,6,5,4,5,6,6,6,6,6,6,6,6,6,7,5,4,4,6,6,6,0.436,-0.733,-0.552,Ocio
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,7,6,7,6,5,5,5,6,6,6,6,6,6,6,6,6,5,4,5,5,6,6,0.436,-0.464,-1.028,Ocio
6,6,3,3,3,3,5,6,6,6,6,5,5,5,5,5,7,6,6,5,6,6,6,6,6,7,7,7,6,7,6,6,5,5,5,5,5,4,5,5,4,5,6,4,5,4,6,7,7,-0.92,-0.723,0.404,Negocio
4,5,5,6,5,5,7,6,5,1,4,6,4,4,4,4,7,7,7,6,6,6,6,5,6,4,6,4,5,4,5,4,4,5,5,5,6,6,6,4,6,7,7,5,5,5,7,7,7,0.076,-0.177,0.88,Ocio
5,5,5,5,5,5,4,5,6,6,5,6,4,4,4,4,7,7,7,7,7,5,6,6,6,6,6,6,6,7,4,4,5,5,5,5,5,5,5,5,5,6,6,4,4,4,6,6,6,-0.506,-1.01,-0.552,Negocio
5,5,5,6,4,4,6,5,5,2,2,5,5,5,5,5,7,7,7,6,6,6,5,4,6,4,6,5,5,5,5,5,4,6,5,3,6,6,6,4,6,6,7,5,5,4,6,6,6,-0.336,-0.445,-0.552,Ocio
3,4,4,5,3,4,7,2,2,2,2,2,5,5,5,5,7,7,7,4,5,6,5,5,6,4,7,5,5,5,5,5,5,6,5,6,6,6,6,5,6,6,7,4,4,4,7,7,7,0.181,-1.01,0.88,Ocio
3,3,2,3,5,4,3,2,2,2,2,2,3,3,3,3,7,6,7,6,6,5,5.726923076923077,7,7,6,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,6,6,6,-0.506,-0.177,-0.552,Ocio
5,6,5,6,6,5,7,6,6,4,4,6,5,5,5,5,7,7,7,7,6,5,5,5,4,4,6,6,5,6,6,5,4,6,6,6,6,6,6,6,6,7,7,4,4,4,7,7,7,0.586,-1.01,0.88,Ocio
6,6,6,7,6,6,6,6,5,3,4,6,4,4,4,4,7,7,7,6,6,5,5,5,6,4,6,5,5,5,5,4,4,5,4,4,5,5,5,4,5,6,7,4,4,4,5,5,5,-0.891,-1.01,-1.984,Ocio
6,6,3,6,5,4,6,5,4,3,3,5,4,4,4,4,6,6,6,5,5,4,4,3,4,4,5,5,4,5,4,3,4,5,3,3,5,5,5,3,3,5,7,2,2,2,6,6,6,-1.63,-2.677,-0.552,Ocio
5,5,5,5,5,5,4,4,5,5,5,5,6,6,5,5,7,7,7,7,7,5,6,6,6,6,7,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,5,7,7,7,0.436,0.101,0.88,Ocio
4,5,5,6,5,5,7,6,5,1,4,6,4,4,4,4,7,7,7,6,6,6,6,5,6,4,6,4,5,4,5,4,4,5,5,5,6,6,6,4,6,7,7,5,5,5,7,7,7,0.076,-0.177,0.88,Ocio
5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,5,6,6,6,5,6,6,6,5,5,5,7,6,5,5,4,4,4,4,6,3,4,4,4,3,3,3,4,4,4,-1.632,-1.844,-3.416,Negocio
7,6,7,7,6,6,5,5,1,1,6,7,7,6,6,6,7,7,7,7,7,6,6,7,6,6,6,7,7,7,7,6,6,7,7,6,7,5,7,7,7,7,7,6,7,6,7,7,7,1.074,0.944,0.88,Negocio
