TRUST1	TRUST2	TRUST3	COMMITMENT1	COMMITMENT2	COMMITMENT3	COMMITMENT4	VCC1	VCC2	VCC3	VCC4	VCC5	VCC6	ECOSAT1	ECOSAT2	ECOSAT3	SOCSAT1	SOCSAT2	SOCSAT3	LOY1	LOY2	LOY3	LOY4	ICT1	ICT2	ICT3	ICT4	ICT5
6	6	6	6	5	6	6	5	5	5	4	4	4	6	6	6	7	7	7	6	6	1	7	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	5	5	4	5	5	6	5	6	6	7	6	1	6	5	6	5	5	5
5	4	6	4	4	5	5	3	5	7	3	5	7	5	5	6	6	5	5	5	4	2	5	5	5	5	5	6
6	5	7	3	4	6	6	2	4	6	6	5	7	3	3	6	7	6	5	5	5	4	5	5	5	4	4	5
5	5	5	4	5	5	5	2	3	7	2	5	7	4	3	6	7	5	5	4	4	3	4	5	5	5	4	6
5	5	5	6	6	6	6	6	6	6	5	5	5	6	6	7	7	7	7	6	4	1	6	5	4	5	4	4
5	3	6	4	5	6	6	3	4	7	4	6	7	5	6	6	7	6	6	5	4	2	5	5	5	4	4	3
5	3	5	4	4	5	5	2	4	6	4	6	6	3	3	6	7	5	5	4	4	3	5	5	5	5	5	5
5	3	5	3	4	5	6	1	3	7	4	5	7	2	3	5	7	6	4	5	3	2	5	3	3	3	4	6
6	4	6	5,07480315	5,2173913	5,85433071	6	1	3	6	6	5	6	5	5	7	7	6	5	6	3	1	5	3	3	3	4	5
6	4	6	3	3	3	3	2	2	5	2	4	5	2	2	6	6	4	3	5	1	4	4	3	3	3	3	6
7	7	7	6	6	6	6	4	5	6	5	5	4	6	7	7	6	6	6	6	3	5	6	4	4	5	5	4
6	6	6	6	6	6	6	3	3	3	3	4	5	6	6	5	6	5	5	4	6	2	4	3	3	3	3	3
6	6	6	6	6	6	6	3	3	3	3	3	3	7	7	7	7	7	7	6	6	1	6	3	3	3	3	3
6	6	6	6	6	6	6	5	5	5	4	4	4	6	6	6	6	6	6	6	6	1	6	3	3	3	4	4
5	4	6	4	5	6	5	3	5	7	5	7	7	4	4	6	6	6	5	5	4	2	5	5	5	5	5	6
7	7	7	6	6	6	6	3	4	4	4	4	4	7	7	7	6	7	5	5	5	1	6	3	3	4	4	4
6	4	7	5	5	6	6	3	5	7	4	7	7	4	4	6	7	6	5	5	4	1	5	5	5	5	5	5
6	3	7	5	6	7	6	2	3	7	3	5	7	3	3	6	7	6	5	6	4	2	5	5	5	5	5	7
6	7	7	7	7	7	7	4	4	4	5	5	3	5	6	6	7	7	5	5	5	1	5	3	3	4	4	4
6	6	6	6	6	6	6	6	5	4	3	4	4	6	5	5	5	5	5	5	6	2	6	6	5	4	4	4
6	4	7	5	5	6	7	3	4	6	4	6	6	6	6	7	7	6	6	5	3	2	5	3	3	4	4	6
6	4	7	5	5	7	7	1	3	5,38039216	4	5	7	5	5	5	7	6	5	5	5	2	5	4	5	4	5	5
6	6	6	6	6	6	6	5	6	5	5	6	5	7	7	7	7	7	7	6	4	1	6	6	6	6	6	6
6	6	6	5	5	5	5	4	4	4	4	4	5	6	6	6	7	5	5	5	5	1	5	4	4	4	4	4
5	4	6	5	5	6	6	1	3	7	5	5	7	3	3	6	7	6	5	5	4	2	5	5	5	5	4	5
6	5	7	4	5	6	6	3	3	6	3	5	7	4	5	6	7	6	5	5	5	3	5	3	3	3	4	6
6	6	5	4	4	5	5	3	3	3	3	3	4	5	5	4	5	5	5	4	4	1	4	4	4	4	4	4
6	5	6	4	5	6	6	4	4	7	4	7	7	5	5	6	7	6	5	6	5	4	5	3	3	3	4	6
7	7	7	7	7	7	7	7	5	7	7	6	7	7	7	7	7	7	7	6	6	1	6	6	6	4	2	5
6	6	6	5	5	5	5	5	6	4	3	3	3	6	6	6	6	6	6	6	6	1	5	4	4	4	3	5
5	3	5	2	3	4	3	2	2	6	2	4	6	2	2	5	5	5	4	4	3	4	4	4	4	4	5	4
5	5	5	4	4	5	5	1	1	6	4	4	6	4	4	5	6	5	5	4	4	2	5	2	2	2	3	5
6	4	6	5	5	6	6	3	3	6	4	6	6	3	3	7	7	6	5	4	2	2	5	3	3	3	4	5
6	6	6	6	6	6	6	3	3	3	4	3	3	6	6	6	6	6	6	6	4	1	6	4	5	5	5	5
6	6	6	6	6	6	6	4	4	4	3	3	3	6	5	5	5	5	5	5	6	1	6	3	3	3	3	3
6	6	6	6	6	6	6	4	4	5	4	3	3	6	7	7	7	7	7	6	4	1	6	3	4	3	4	4
6	4	6	4	5	6	6	1	3	6	5	6	7	3	3	6	7	6	5	6	5	4	5	3	3	3	4	4
6	5	6	4	4	5	5	2	2	6	3	5	7	3	3	7	7	5	5	5	5	3	6	5	5	5	4	5
6	6	6	6	6	6	6	4	4	4	4	3	4	7	7	7	7	7	7	6	6	1	6	3	3	3	5	5
6	6	6	6	6	6	6	5	4	3	3	3	3	5	5	6	6	6	6	5	6	1	6	3	3	3	3	4
6	6	6	5	5	5	6	3	4	4	3	3	3	5	6	6	5	6	6	6	5	1	6	3	4	4	3	3
6	5	6	5	5	6	6	2	3	6	3	7	7	4	3	7	7	6	6	5	4	2	5	5	5	5	5	6
7	5	7	5	5	6	7	2	3	7	5	6	6	5	5	6	7	6	6	5	5	1	5	3	3	3	4	5
6	6	6	6	7	7	7	4	3	3	3	3	4	6	6	6	7	7	6	6	4	1	6	4	4	4	4	4
7	7	7	6	6	6	6	5	5	5	5	5	4	6	6	6	6	7	6	7	6	1	7	5	6	6	6	6
5	6	6	6	5	6	6	3	3	3	3	3	3	6	5	6	6	6	6	5	5	1	5	4	4	4	4	4
6	6	7	5	5	6	7	4	4	7	5	6	7	5	5	7	7	6	6	5	3	2	5	5	5	5	4	6
6	5	7	6	6	6	7	2	4	6	4	6	7	6	6	7	7	6	6	6	5	1	6	3	3	3	4	7
5	4	6	6	5,2173913	6	6	5	5	5	5	5	4	6	6	6	6	6	6	5	6	1	6	4	4	4	4	4
6	6	6	6	6	6	6	5	6	6	6	5	5	6	6	6	6	6	6	6	4	1	6	3	4	3	4	4
6	4	6	5	5	6	6	3	4	6	4	6	6	6	6	7	7	6	6	5	3	2	6	3	3	4	4	6
4	2	4	3	3	4	5	2	2	5	2	5	6	2	2	5	6	4	4	5	2	2	4	4	4	4	4	5
5	4	6	6	5	6	5	4	5	7	4	6	6	6	6	6	7	7	4	7	1	1	7	1	1	1	1	6
6	7	7	7	6	7	6	4	6	6	5	6	7	6	6	4	6	6	6	7	4	7	7	1	1	1	1	5
6	5	6	4	4	5	5	2	3	6	4	5	6	4	4	6	7	5	5	5	3	2	5	5	5	4	4	5
7	7	7	5	5	7	6	4	4	7	7	7	7	7	7	7	7	7	7	7	4,42125984	3	7	7	7	7	4,26771653	7
7	7	7	1	4	7	7	1	1	5	1	7	7	7	1	7	7	7	7	5	3	5	5	1	1	1	1	1
6	6	6	4	4	7	6	2	4	6	6	7	6	2	2	2	6	6	2	2	2	2	3	1	1	1	3	6
7	6	6	5	5	7	7	6	6	7	6	6	7	5	6	6	6	7	7	7	5	6	5	7	7	7	4	7
6	6	6	1	3	6	7	1	1	4	2	2	4	3	2	2	4	4	1	4	1	2	1	1	1	1	4	4
5	5	5	5	6	6	6	4	5	5	5	5	5	6	5	1	5	6	6	4	4	4	4	7	6	6	4	6
6	5	6	4	4	7	6	1	1	4	4	6	6	2	3	2	6	6	6	5	2	1	5	1	1	2	1	5
7	7	7	7	5	7	7	6	7	7	7	6	7	7	7	5	7	7	7	7	5	3	7	7	7	7	6	6
7	7	7	7	6	6	7	5	5	7	5	5	6	5	5	4	7	7	7	6	2	2	6	4	4	4	4	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	7	7	7	6	6	6	6	6	6	5	5	6	6	7	5	6	6	6	6	3	5	6	7	7	7	5	7
6	5	6	6	3	4	4	2	2	4	3	4	4	3	4	4	4	4	3	4	2	4	3	6	6	6	6	6
5	3	5	4	4	5	5	2	4	6	4	6	6	3	3	6	7	5	5	4	4	3	5	5	5	5	5	5
5	5	6	5	4	5	5	1	1	5	4	4	5	1	3	3	5	5	4	4	3	3	4	1	1	1	1	5
7	6	7	1	6	6	5	1	1	1	1	1	6	5	5	1	6	6	6	6	4	3	4	3	1	3	3	5
4	2	4	3	3	5,85433071	4	2	3,96862745	3	3	5,20784314	3	3	2	2	5	5	2	2	2	6	4	7	7	7	7	7
7	7	7	7	7	7	7	6	7	7	5	7	7	5	5	5	7	6	6	6	6	1	7	5	4	4	5	5
6	4	5	5	5	5	6	6	3	7	4	6	7	2	6	6	6	6	6	6	4	5	6	3	3	4	5	5
7	7	5	7	7	7	7	6	6	7	6	6	6	6	7	5	7	7	7	7	5	6	6	4	5	5	4	4
7	7	7	4	4	7	4	1	1	5	2	5	7	1	3	1	5	5	5	3	1	2	5	2	5	5	4	5
5	7	7	7	7	7	7	5	5	3	4	5	2	7	6	5	7	5	5,59607843	7	7	7	7	7	7	5	6	6
7	6	7	5	6	6	5	5	4	5	5	6	7	6	7	5	7	7	7	5	5	6	6	6	6	6	4	7
7	7	7	4	3	7	5	1	1	7	1	2	7	7	7	1	7	7	7	3	3	1	1	1	1	1	4	1
6	7	7	6	6	6	6	7	6	6	6	5	6	7	7	7	7	7	7	7	5	2	6	7	7	7	6	7
7	7	7	7	7	7	7	1	1	7	7	7	7	1	3	1	7	7	7	7	7	7	7	1	1	1	1	6
5,96862745	6	6	5,07480315	3	3	5,77254902	1	1	5	2	6	5	4	5,01568628	4	6	6	4	4	2	2	2	2	4	4	2	6
7	4	7	5	5	6	6	4	4	7	6	7	7	5	5	5	7	7	6	5	5	4	6	7	6	6	6	6
6	1	6	5	6	7	6	1	2	6	2	6	6	3	5	1	5	3	4	4	4	1	6	2	2	2	2	5
5	1	5	5	5	2	2	2	2	7	7	7	5	6	4	5	7	6	6	7	1	7	7	7	1	1	5	5
6	6	6	6	6	6	6	4	4	4	5	5	5	6	6	6	7	7	7	6	6	1	6	5	5	6	6	6
6	6	6	6	6	6	6	4	4	5	5	5	5	7	7	7	7	7	7	6	6	1	7	5	5	5	5	5
5	5	7	7	7	7	7	5	5	5	4	4	4	5	7	5	7	7	7	7	7	7	7	7	7	7	5	7
7	6	7	3	3	7	6	1	1	1	1	3	6	2	2	3	3	6	6	2	2	3	6	7	7	5	5	7
6	6	6	5	6	7	7	7	5	5	4	6	7	6	6	7	7	7	6	6	6	2	6	3	3	3	6	5
6	4	6	5	6	6	5	6	6	5	6	5	4	2	6	4	5	4	4	5	2	2	2	7	7	5	3	3
6	6	7	6	5	6	6	5	5	7	7	6	6	4	4	4	5	6	5	5	4	2	5	5	3	3	3	6
7	6	7	7	7	7	7	5	5	7	7	7	7	7	7	6	7	7	7	7	5	1	7	5	1	5	7	5
6	5	5	2	2	5	5	1	2	2	2	3	5	4	6	6	6	5	5	3	4	2	4	2	2	2	4,26771653	5
5	4	5	5	6	6	5	3	5	6	6	5	6	3	5	4	7	6	6	5	4	6	6	4	4	4	2	6
5	6	6	4	4	4	4	5	5	5	5	5	7	6	6	6	6	6	6	6	5	1	6	6	6	5	6	6
6	5	7	7	5	7	6	4	3	6	5	6	6	4	5	4	6	6	6	7	5	3	5	1	1	1	1	4
1	3	2	1	1	3	1	1	1	1	1	6	3	1	1	1	5	1	1	1	1	7	1	1	1	1	7	5
7	5	7	7	6	7	6	1	1	3	4	4	6	3	3	3	6	7	7	6	2	2	5	1	1	1	1	6
7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	5
5	5	5	4	4	5	4	1	1	5	2	3	5	5	4	2	6	5	7	5	7	1	5	6	6	1	6	5
5	6	6	1	4	2	2	1	1	1	1	6	7	3	3	3	2	4	1	4	2	2	2	3	3	1	2	4
7	7	7	7	7	7	7	7	5	6	6	6	6	7	7	5	7	7	5	6	1	3	5	7	7	7	7	7
7	7	7	7	5	7	7	7	7	7	7	7	7	5	5	5	7	7	7	7	6	1	7	7	7	7	4	7
6	6	5	4	3	7	6	1	1	1	1	6	1	4	4	2	3	4	4	6	3	4	2	1	1	1	3	3
7	7	7	4	4	7	4	1	4	1	1	3	5	4	5	3	4	5	5	1	1	1	4	1	1	1	7	3
7	7	7	7	5	5	7	3	3	7	7	5	7	7	7	7	7	7	7	7	2	5	5	1	1	1	4	7
5	5	6	6	5	7	7	2	5	3	3	3	3	3	2	3	4	4	4	3	1	3	3	1	1	1	1	6
5	4	6	4	4	6	6	2	4	6	3	6	7	3	3	7	7	6	5	5	4	2	6	4	4	4	4	6
6	5	6	4	4	5	6	2	3	7	3	5	6	5	5	6	7	6	6	5	3	3	5	3	3	4	4	5
6	6	6	4	4	4	4	4	4	4	5	5	5	7	6	6	6	6	7	5	6	1	6	2	2	2	2	2
5	5	5	4	5	5	5	3	3	7	5	5	6	3	3	6	7	5	5	5	3	2	5	5	5	5	4	6
5	5	6	4	5	6	6	2	2	6	3	5	7	3	3	6	7	5	5	5	3	2	5	5	5	5	4	4
5	5	5	5	5	5	5	3	4	6	5	5	7	3	3	5	6	5	5	5	3	2	5	5	5	5	5	5
5	5	5	4	4	5	5	3	4	6	5	5	7	3	3	6	7	6	6	5	3	2	5	5	5	5	5	5
6	5	6	5	5	6	6	4	4	7	4	5	7	4	3	6	7	6	6	5	4	3	5	3	3	3	4	4
6	4	7	5	5	6	6	2	3	6	4	6	6	5	4	7	7	6	6	5	5	4	6	5	5	5	5	5
6	5	7	5	5	6	6	2	2	6	4	5	7	4	4	6	7	5	5	5	3	3	6	5	5	5	4	6
5	3	6	3	4	6	6	2	3	7	5	6	7	4	3	6	7	5	5	4	3	2	5	5	5	4	4	5
6	5	7	5	5	6	7	3	3	5	5	6	7	3	3	7	7	6	6	6	3	3	6	5	5	5	4	7
6	5	6	4	5	6	6	4	4	7	4	7	7	3	3	7	7	6	6	5	4	5	5	5	5	4	4	6
6	5	6	4	5	6	6	2	3	7	4	6	7	3	3	6	7	6	5	4	2	2	5	5	5	5	4	6
6	5	6	4	4	6	6	2	2	6	4	5	6	4	4	6	7	6	6	5	3	2	5	5	5	4	4	5
7	5	7	5	5	6	7	4	4	7	5	7	7	3	3	7	7	6	5	5	4	2	6	5	5	5	4	5
6	4	7	5	5	6	6	2	2	6	4	6	6	5	4	7	7	6	6	5	5	4	6	5	5	5	5	5
6	6	7	7	5	7	7	3	1	5	5	5	7	6	7	5	7	7	7	7	1	5	7	5	5	6	6	6
6	6	6	6	6	6	6	4	4	4	5	3	4	5	6	6	6	6	6	6	6	1	6	5	5	4	3	4
6	6	6	6	6	6	6	3	3	4	3	3	3	7	7	7	7	7	7	7	7	1	7	2	2	3	3	3
6	4	7	4	4	6	6	2	3	6	3	6	6	4	5	7	7	6	5	5	3	3	5	4	4	4	4	6
6	6	6	3	3	3	3	3	3	3	3	3	3	6	6	6	6	6	6	5	5	1	5	1	1	1	1	1
